Data,Origem,Destino,Duração,Operador,Preço
05-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.034,47"
05-02-2026,FOR - 18:10,GIG - 21:30,03:20,Direto,"R$ 1.034,47"
05-02-2026,FOR - 17:20,GIG - 22:35,05:15,1 parada,"R$ 1.034,47"
06-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.034,47"
06-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.034,47"
06-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.034,47"
07-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.034,47"
07-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.034,47"
07-02-2026,FOR - 18:10,GIG - 21:30,03:20,Direto,"R$ 1.034,47"
08-02-2026,FOR - 08:35,GIG - 11:55,03:20,Direto,"R$ 1.034,47"
08-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.034,47"
08-02-2026,FOR - 18:10,GIG - 21:30,03:20,Direto,"R$ 1.034,47"
09-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.034,47"
09-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.034,47"
09-02-2026,FOR - 18:10,GIG - 21:30,03:20,Direto,"R$ 1.034,47"
10-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.034,47"
10-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
10-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
11-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.229,47"
11-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
11-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
12-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
12-02-2026,FOR - 18:10,GIG - 21:30,03:20,Direto,"R$ 1.229,47"
12-02-2026,FOR - 00:30,GIG - 06:10,05:40,1 parada,"R$ 1.229,47"
13-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.229,47"
13-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
13-02-2026,FOR - 04:25,GIG - 12:50,08:25,1 parada,"R$ 1.229,47"
14-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.229,47"
14-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
14-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
15-02-2026,FOR - 08:35,GIG - 11:55,03:20,Direto,"R$ 1.229,47"
15-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
15-02-2026,FOR - 18:10,GIG - 21:30,03:20,Direto,"R$ 1.229,47"
16-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.229,47"
16-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
16-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
17-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.229,47"
17-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
17-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
18-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.229,47"
18-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.464,47"
18-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.464,47"
19-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
19-02-2026,FOR - 14:05,SDU - 20:00,05:55,1 parada,"R$ 1.367,47"
19-02-2026,FOR - 02:20,SDU - 08:25,06:05,1 parada,"R$ 1.367,47"
20-02-2026,FOR - 01:55,GIG - 05:15,03:20,Direto,"R$ 1.229,47"
20-02-2026,FOR - 11:00,GIG - 14:20,03:20,Direto,"R$ 1.229,47"
20-02-2026,FOR - 15:55,GIG - 19:15,03:20,Direto,"R$ 1.229,47"
